iter	Passed	Remaining
0	402	805540
1	642	641884
2	979	652219
3	1287	642432
4	1524	608137
5	1762	585768
6	2091	595504
7	2294	571363
8	2519	557376
9	2718	541013
10	2931	530111
11	3174	525907
12	3429	524178
13	3701	525133
14	3911	517665
15	4127	511814
16	4407	514151
17	4618	508524
18	4824	503060
19	5033	498269
20	5244	494253
21	5452	490204
22	5652	485863
23	5863	482758
24	6068	479432
25	6343	481613
26	6543	478166
27	6732	474193
28	6939	471638
29	7143	469119
30	7346	466643
31	7557	464777
32	7758	462478
33	8038	464811
34	8242	462768
35	8468	462022
36	8694	461289
37	8902	459640
38	9148	459995
39	9402	460738
40	9611	459259
41	9834	458486
42	10032	456589
43	10253	455831
44	10464	454613
45	10677	453557
46	10886	452355
47	11098	451341
48	11299	449900
49	11537	449955
50	11744	448839
51	11965	448233
52	12173	447186
53	12383	446248
54	12600	445585
55	12813	444805
56	13024	443970
57	13230	443000
58	13491	443850
59	13740	444278
60	14009	445307
61	14249	445400
62	14471	444949
63	14686	444268
64	14912	443941
65	15153	444033
66	15348	442824
67	15561	442131
68	15816	442639
69	16015	441568
70	16222	440753
71	16460	440786
72	16695	440725
73	16910	440132
74	17139	439908
75	17335	438871
76	17554	438402
77	17785	438249
78	17992	437519
79	18217	437222
80	18427	436580
81	18680	436931
82	18906	436667
83	19126	436259
84	19352	436000
85	19580	435774
86	19857	436642
87	20081	436319
88	20276	435377
89	20520	435491
90	20737	435025
91	20941	434316
92	21222	435182
93	21470	435351
94	21755	436262
95	21964	435626
96	22172	434997
97	22377	434309
98	22593	433849
99	22815	433489
100	23000	432460
101	23199	431697
102	23400	430969
103	23602	430282
104	23821	429913
105	24032	429405
106	24299	429904
107	24600	430968
108	24821	430624
109	25036	430176
110	25340	431246
111	25553	430765
112	25814	431079
113	26042	430848
114	26237	430062
115	26466	429855
116	26693	429607
117	26922	429393
118	27202	429989
119	27553	431665
120	27806	431812
121	28063	431993
122	28286	431658
123	28512	431362
